benchmark,nsets,bsize,assoc,IPC,ICAcess,ICmissRate,ICmisses,IChit,DCAcess,DCmissRate,DCmisses,DChit,ctrlmem0energy,ctrlmem1Energy
gobmk,16,1,32,0.388968,1322497.0,0.001256,1661.0,1320836.0,3201650.0,0.651964,2087359.0,1114291.0,13184121585.0,13439612970.0
gobmk,32,2,16,0.396031,1323998.0,0.000769,1018.0,1322980.0,3196227.0,0.654078,2090582.0,1105645.0,10258220760.0,10429355580.0
gobmk,64,4,32,0.541566,1323880.0,0.000458,606.0,1323274.0,3192236.0,0.479784,1531583.0,1660653.0,7845032460.0,7907088720.0
gobmk,64,1,16,0.534983,1324254.0,0.000554,733.0,1323521.0,3192303.0,0.481596,1537401.0,1654902.0,7535266410.0,7938276885.0
gobmk,32,1,32,0.396887,1323081.0,0.000772,1022.0,1322059.0,3196186.0,0.652155,2084410.0,1111776.0,10843375395.0,11119959930.0
gobmk,16,2,16,0.388494,1323564.0,0.001225,1622.0,1321942.0,3201686.0,0.65338,2091916.0,1109770.0,12584394765.0,12723083775.0
gobmk,64,2,32,0.548555,1323381.0,0.000462,612.0,1322769.0,3192227.0,0.479081,1529334.0,1662893.0,7663823550.0,7736802195.0
gobmk,64,2,16,0.535333,1324067.0,0.000482,638.0,1323429.0,3192297.0,0.479976,1532225.0,1660072.0,7544999970.0,7628004270.0
gobmk,32,1,8,0.39403,1324797.0,0.000891,1180.0,1323617.0,3196287.0,0.656006,2096785.0,1099502.0,10099137120.0,11117987820.0
gobmk,32,1,16,0.39126,1324271.0,0.000853,1129.0,1323142.0,3196260.0,0.654766,2092803.0,1103457.0,10505024190.0,10965268560.0
gobmk,32,4,32,0.392944,1323910.0,0.000739,978.0,1322932.0,3196162.0,0.65381,2089682.0,1106480.0,10967141310.0,11084379810.0
gobmk,16,2,32,0.391394,1322971.0,0.001218,1612.0,1321359.0,3201713.0,0.652502,2089124.0,1112589.0,13183410045.0,13295566065.0
gobmk,64,1,32,0.540741,1322757.0,0.000491,650.0,1322107.0,3192288.0,0.478843,1528604.0,1663684.0,7803389985.0,8001369450.0
gobmk,16,1,16,0.386407,1323664.0,0.001308,1731.0,1321933.0,3201687.0,0.654061,2094099.0,1107588.0,12600858315.0,13068356700.0
gobmk,16,4,32,0.387348,1323320.0,0.001213,1605.0,1321715.0,3201660.0,0.653129,2091097.0,1110563.0,13211513790.0,13360870245.0
gobmk,32,2,32,0.396891,1323460.0,0.000752,995.0,1322465.0,3196221.0,0.653079,2087385.0,1108836.0,10876011630.0,10972315950.0
gobmk,64,1,8,0.534939,1324828.0,0.000609,807.0,1324021.0,3192292.0,0.483622,1543863.0,1648429.0,7278962100.0,7781761740.0
gobmk,16,1,8,0.383969,1324581.0,0.001357,1797.0,1322784.0,3201763.0,0.655276,2098040.0,1103723.0,12361795980.0,12949502775.0
astar,16,1,32,1.248006,2705332.0,0.000668,1806.0,2703526.0,3599465.0,0.000267,961.0,3598504.0,1238696985.0,1244871030.0
astar,32,2,16,0.835208,2678176.0,0.027415,73423.0,2604753.0,3616692.0,0.000215,778.0,3615914.0,4077075720.0,4185686340.0
astar,64,4,32,1.259597,2706506.0,0.000244,661.0,2705845.0,3510478.0,0.000145,509.0,3509969.0,1210078695.0,1211592240.0
astar,64,1,16,1.09233,2678439.0,0.018999,50888.0,2627551.0,3538833.0,0.00017,603.0,3538230.0,1396209795.0,1399249875.0
astar,32,1,32,1.259788,2705889.0,0.000428,1158.0,2704731.0,3536180.0,0.000228,807.0,3535373.0,1216275615.0,1220017500.0
astar,16,2,16,0.749903,2677487.0,0.027667,74078.0,2603409.0,3650060.0,0.000259,947.0,3649113.0,4605853035.0,4736540790.0
astar,64,2,32,1.25954,2706480.0,0.000248,671.0,2705809.0,3510473.0,0.000144,506.0,3509967.0,1210458825.0,1211839995.0
astar,64,2,16,1.000613,2678635.0,0.027262,73026.0,2605609.0,3583326.0,0.000144,516.0,3582810.0,1521655335.0,1521615615.0
astar,32,1,8,0.555718,2610993.0,0.079338,207150.0,2403843.0,3577734.0,0.015815,56583.0,3521151.0,6245891670.0,6243414990.0
astar,32,1,16,1.105166,2677995.0,0.019159,51309.0,2626686.0,3572176.0,0.000232,830.0,3571346.0,1386311640.0,1390863705.0
astar,32,4,32,1.260926,2706028.0,0.000387,1046.0,2704982.0,3536179.0,0.000217,768.0,3535411.0,1214418810.0,1217406780.0
astar,16,2,32,1.246906,2705394.0,0.000628,1698.0,2703696.0,3603482.0,0.000261,941.0,3602541.0,1236840825.0,1242422055.0
astar,64,1,32,1.262376,2706309.0,0.000283,766.0,2705543.0,3504621.0,0.000158,553.0,3504068.0,1207951875.0,1210288560.0
astar,16,1,16,1.104689,2677383.0,0.019422,51999.0,2625384.0,3627812.0,0.000273,990.0,3626822.0,1398389880.0,1404992730.0
