IPC,ICAcess,ICmissRate,ICmisses,IChit,DCAcess,DCmissRate,DCmisses,DChit,ctrlmem0energy,ctrlmem1Energy,label
0.7091,0.9982,0.9602,0.9596,0.9976,1.0,0.9938,0.9955,0.6698,0.9979,1.0,0.0
0.722,0.9994,0.5879,0.5881,0.9992,0.9983,0.9971,0.997,0.6646,0.7765,0.776,0.0
0.9873,0.9993,0.3502,0.3501,0.9994,0.997,0.7314,0.7304,0.9982,0.5938,0.5883,0.0
0.9753,0.9996,0.4235,0.4235,0.9996,0.9971,0.7341,0.7332,0.9947,0.5704,0.5907,0.0
0.7235,0.9987,0.5902,0.5904,0.9985,0.9983,0.9941,0.9941,0.6683,0.8208,0.8274,0.0
0.7082,0.999,0.9365,0.937,0.9984,1.0,0.996,0.9977,0.6671,0.9525,0.9467,0.0
1.0,0.9989,0.3532,0.3536,0.9991,0.997,0.7303,0.7294,0.9995,0.5801,0.5757,0.0
0.9759,0.9994,0.3685,0.3686,0.9996,0.9971,0.7317,0.7307,0.9978,0.5711,0.5676,0.0
0.7183,1.0,0.6812,0.6817,0.9997,0.9983,1.0,1.0,0.6609,0.7644,0.8273,0.0
0.7133,0.9996,0.6521,0.6522,0.9993,0.9983,0.9981,0.9981,0.6633,0.7951,0.8159,0.0
0.7163,0.9993,0.565,0.565,0.9992,0.9983,0.9967,0.9966,0.6651,0.8301,0.8248,0.0
0.7135,0.9986,0.9312,0.9313,0.998,1.0,0.9947,0.9963,0.6688,0.9979,0.9893,0.0
0.9858,0.9984,0.3754,0.3755,0.9986,0.9971,0.7299,0.729,1.0,0.5907,0.5954,0.0
0.7044,0.9991,1.0,1.0,0.9984,1.0,0.997,0.9987,0.6657,0.9538,0.9724,0.0
0.7061,0.9989,0.9274,0.9272,0.9983,1.0,0.9956,0.9973,0.6675,1.0,0.9941,0.0
0.7235,0.999,0.5749,0.5748,0.9988,0.9983,0.9955,0.9955,0.6665,0.8232,0.8164,0.0
0.9752,1.0,0.4656,0.4662,1.0,0.9971,0.7372,0.7363,0.9908,0.551,0.579,0.0
0.7,0.9998,1.0375,1.0381,0.9991,1.0,0.9989,1.0006,0.6634,0.9357,0.9635,0.0
0.9886,0.9996,0.0084,0.0087,0.9991,0.9861,0.006,0.0061,0.9861,0.1983,0.1994,1.0
0.6616,0.9895,0.3455,0.3544,0.9626,0.9909,0.0048,0.005,0.9909,0.6528,0.6704,1.0
0.9978,1.0,0.0031,0.0032,1.0,0.9618,0.0032,0.0033,0.9619,0.1937,0.1941,1.0
0.8653,0.9896,0.2395,0.2457,0.9711,0.9695,0.0038,0.0039,0.9696,0.2235,0.2241,1.0
0.9979,0.9998,0.0054,0.0056,0.9996,0.9688,0.0051,0.0052,0.9688,0.1947,0.1954,1.0
0.594,0.9893,0.3487,0.3576,0.9621,1.0,0.0058,0.0061,1.0,0.7374,0.7586,1.0
0.9978,1.0,0.0031,0.0032,1.0,0.9618,0.0032,0.0032,0.9619,0.1938,0.1941,1.0
0.7926,0.9897,0.3436,0.3525,0.963,0.9817,0.0032,0.0033,0.9818,0.2436,0.2437,1.0
